observation_count,replicate,threshold,holdout_roc_auc,holdout_balanced_accuracy,holdout_sensitivity,holdout_specificity,development_roc_auc,development_balanced_accuracy
120,1,1.2380654905308428,0.9375,0.8298611111111112,0.7222222222222222,0.9375,0.8072916666666666,0.8177083333333333
120,2,1.6207587445922247,0.8739495798319328,0.8697478991596639,0.8571428571428571,0.8823529411764706,0.8481973434535104,0.8135673624288424
120,3,0.976319409202732,0.9238095238095239,0.7,0.4,1.0,0.8253119429590018,0.8181818181818181
120,4,1.6287792910401355,0.8489583333333334,0.8333333333333333,0.75,0.9166666666666666,0.8372395833333334,0.84375
120,5,2.282781588386677,0.8321678321678322,0.7342657342657343,0.9230769230769231,0.5454545454545454,0.772972972972973,0.7505791505791506
120,6,1.6829991257936865,0.9126984126984127,0.7559523809523809,0.7619047619047619,0.75,0.8991769547325102,0.8472222222222222
120,7,1.4679787306226144,0.8571428571428571,0.6978021978021978,0.5384615384615384,0.8571428571428571,0.8873949579831932,0.8558823529411765
120,8,1.8668243127828008,0.9821428571428571,0.8973214285714286,0.9375,0.8571428571428571,0.8786764705882353,0.8492647058823529
120,9,1.7360616945390028,0.9007936507936508,0.8650793650793651,0.9444444444444444,0.7857142857142857,0.8578431372549019,0.8450980392156863
120,10,1.5622274431009182,0.865546218487395,0.7983193277310925,0.7142857142857143,0.8823529411764706,0.7561669829222012,0.74146110056926
120,11,1.7650422321663468,0.7346153846153847,0.7326923076923078,0.6153846153846154,0.85,0.9183673469387755,0.8678571428571429
120,12,1.4174027881479214,0.9358974358974359,0.842948717948718,0.7692307692307693,0.9166666666666666,0.8936507936507937,0.8162698412698413
120,13,1.3627019059356251,0.8111111111111111,0.788888888888889,0.7777777777777778,0.8,0.8,0.8196969696969697
120,14,2.1206432755493614,0.9519230769230769,0.8125,1.0,0.625,0.8214285714285714,0.8049107142857144
120,15,1.4027304217477958,0.9071428571428571,0.8571428571428572,0.7142857142857143,1.0,0.8813025210084033,0.8319327731092437
120,16,1.4014084410659113,0.8520408163265306,0.8571428571428572,0.7857142857142857,0.9285714285714286,0.773356401384083,0.7647058823529411
120,17,1.6298379133003547,0.6838235294117647,0.7003676470588236,0.5882352941176471,0.8125,0.9233870967741935,0.889616935483871
120,18,1.7132009544202713,0.8809523809523809,0.8174603174603174,0.7777777777777778,0.8571428571428571,0.8838612368024132,0.8348416289592759
120,19,1.5100526976079276,0.8492647058823529,0.8143382352941176,0.6875,0.9411764705882353,0.8639112903225806,0.826108870967742
120,20,2.012385256600435,0.8,0.7708333333333333,0.875,0.6666666666666666,0.8863636363636364,0.8314393939393939
120,21,1.918497727286702,0.9236111111111112,0.8298611111111112,0.9375,0.7222222222222222,0.8697916666666666,0.8229166666666667
120,22,1.4341093411646022,0.8380566801619433,0.791497975708502,0.7368421052631579,0.8461538461538461,0.8413793103448276,0.8334975369458129
120,23,1.8339058155103574,0.8974358974358975,0.8615384615384616,0.8,0.9230769230769231,0.922077922077922,0.8848484848484849
160,0,1.420595336995118,0.8397435897435898,0.8044871794871795,0.6923076923076923,0.9166666666666666,0.8626984126984127,0.8436507936507937
160,1,1.877577986634645,0.7653846153846153,0.7461538461538462,0.8,0.6923076923076923,0.7602040816326531,0.7928571428571429
160,2,1.4653377238475775,0.8857142857142857,0.7571428571428571,0.8,0.7142857142857143,0.9109907120743034,0.890092879256966
160,3,1.2286103795321237,0.8269896193771626,0.7647058823529411,0.7058823529411765,0.8235294117647058,0.8574401664932362,0.8548387096774193
160,4,1.4492052860030078,0.9212121212121213,0.8878787878787879,0.8666666666666667,0.9090909090909091,0.8746928746928747,0.8501228501228502
160,5,1.5606230580769056,0.65625,0.7708333333333333,0.625,0.9166666666666666,0.8395833333333333,0.8430555555555556
160,6,1.241292109210985,0.7564102564102564,0.7147435897435898,0.5833333333333334,0.8461538461538461,0.8928571428571429,0.8472222222222222
160,7,2.339000179577882,0.7045454545454546,0.6590909090909092,0.8181818181818182,0.5,0.8878378378378379,0.8469594594594595
160,8,1.4030617367842377,1.0,1.0,1.0,1.0,0.8165064102564102,0.7992788461538461
160,9,0.9683236878943675,0.9166666666666666,0.875,0.75,1.0,0.7626984126984127,0.7361111111111112
160,10,1.7077593779544848,0.9,0.8833333333333333,0.9,0.8666666666666667,0.8819776714513556,0.8624401913875598
160,11,1.3952665983299433,0.8782894736842105,0.7861842105263157,0.625,0.9473684210526315,0.7844827586206896,0.8265086206896552
160,12,1.2504709204081172,0.9230769230769231,0.8675213675213675,0.8461538461538461,0.8888888888888888,0.8476190476190476,0.8172161172161172
160,13,1.2574276377669587,0.9429824561403509,0.9057017543859649,0.8947368421052632,0.9166666666666666,0.8438697318007663,0.7859195402298851
160,14,1.5878326723407854,0.7424242424242424,0.6553030303030303,0.5833333333333334,0.7272727272727273,0.8611111111111112,0.8085585585585586
160,15,1.463942470204164,0.9453781512605042,0.8403361344537814,0.8235294117647058,0.8571428571428571,0.7523719165085389,0.7314990512333965
160,16,1.3541897300916337,0.6785714285714286,0.7202380952380952,0.5833333333333334,0.8571428571428571,0.755718954248366,0.7892156862745098
